Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    ND15    Egz.    
Vardas71            Pavarde71           2       7       8       8       10      3       7       2       3       2       3       3       1       9       7       8       
Vardas72            Pavarde72           1       1       1       7       2       9       2       5       7       3       9       2       7       7       8       9       
Vardas73            Pavarde73           7       5       3       7       3       10      7       6       3       5       2       2       3       2       6       2       
Vardas74            Pavarde74           10      3       10      10      10      3       7       4       9       2       1       10      4       1       7       10      
Vardas75            Pavarde75           8       1       2       8       9       1       8       10      6       1       4       8       2       5       10      3       
Vardas76            Pavarde76           1       4       10      2       2       10      9       4       9       10      8       6       1       6       1       2       
Vardas77            Pavarde77           9       8       9       6       9       8       9       10      3       7       6       8       10      9       5       1       
Vardas78            Pavarde78           2       8       3       9       2       4       4       8       1       1       8       8       9       7       9       1       
Vardas79            Pavarde79           8       5       1       10      5       4       3       3       10      9       3       8       5       2       10      3       
Vardas80            Pavarde80           9       1       8       3       10      8       6       5       5       3       6       7       7       2       6       9       
Vardas81            Pavarde81           1       4       3       1       2       7       9       2       1       3       4       7       4       6       3       8       
Vardas82            Pavarde82           10      6       5       4       4       1       6       3       8       2       8       9       5       5       7       7       
Vardas83            Pavarde83           2       3       1       2       6       4       1       6       5       8       6       8       9       7       4       1       
Vardas84            Pavarde84           4       2       6       8       1       5       7       2       7       9       1       1       2       1       6       2       
Vardas85            Pavarde85           6       8       7       9       4       7       10      5       1       10      8       10      7       8       4       8       
Vardas86            Pavarde86           7       3       6       4       5       8       9       1       5       5       9       4       4       2       8       9       
Vardas87            Pavarde87           1       6       4       4       6       8       5       5       8       1       9       1       7       8       2       6       
Vardas88            Pavarde88           2       1       4       3       10      4       2       5       3       5       3       8       1       7       1       2       
Vardas89            Pavarde89           10      5       6       6       1       10      9       9       1       2       10      1       9       3       1       6       
Vardas90            Pavarde90           10      8       6       8       6       10      5       7       3       3       8       2       9       8       1       3       
Vardas91            Pavarde91           8       7       10      4       10      1       3       2       2       9       2       6       3       9       6       8       
Vardas92            Pavarde92           9       4       4       5       3       2       8       5       3       1       3       3       6       3       3       2       
Vardas93            Pavarde93           1       7       9       2       10      9       8       3       7       3       9       2       3       2       5       1       
Vardas94            Pavarde94           1       1       9       4       1       6       4       3       3       4       9       2       2       9       2       5       
Vardas95            Pavarde95           3       7       10      5       4       3       9       6       3       2       6       5       3       9       3       9       
Vardas96            Pavarde96           4       7       9       8       10      1       3       7       2       7       8       3       3       8       1       6       
Vardas97            Pavarde97           9       6       2       1       10      7       2       3       8       8       6       1       8       8       9       10      
Vardas98            Pavarde98           10      3       9       2       2       4       9       7       2       3       5       2       6       10      3       6       
Vardas99            Pavarde99           6       5       2       5       5       5       4       2       4       6       4       6       6       7       4       9       
Vardas100           Pavarde100          6       10      7       10      4       1       6       9       7       8       10      2       9       4       10      10      
Vardas101           Pavarde101          4       3       5       6       9       4       1       5       7       4       1       2       6       1       4       4       
Vardas102           Pavarde102          4       5       1       9       6       2       4       3       9       6       6       4       9       2       10      5       
Vardas103           Pavarde103          10      6       7       6       1       8       2       2       9       4       9       4       8       4       1       3       
Vardas104           Pavarde104          10      2       3       8       4       4       2       3       10      5       5       2       5       4       7       3       
Vardas105           Pavarde105          10      6       1       10      1       2       5       1       6       1       5       7       5       7       5       8       
Vardas106           Pavarde106          6       2       5       3       6       7       7       9       3       9       6       5       9       1       4       3       
Vardas107           Pavarde107          4       1       4       5       7       6       2       4       10      4       3       3       1       7       8       6       
Vardas108           Pavarde108          1       7       6       7       2       9       1       3       10      4       4       6       7       6       5       3       
Vardas109           Pavarde109          10      3       3       4       9       2       5       5       6       8       8       3       1       9       1       4       
Vardas110           Pavarde110          4       5       1       7       6       2       1       5       10      8       5       5       5       1       2       6       
Vardas111           Pavarde111          2       10      5       5       2       3       5       5       8       1       2       2       1       3       10      4       
Vardas112           Pavarde112          2       5       5       1       10      9       1       7       9       7       8       3       7       6       3       7       
Vardas113           Pavarde113          10      4       5       8       4       1       8       9       10      7       4       8       10      5       6       9       
Vardas114           Pavarde114          8       3       6       6       9       8       3       2       8       9       5       5       8       5       10      10      
Vardas115           Pavarde115          2       8       6       2       1       5       4       6       10      8       7       2       6       5       4       4       
Vardas116           Pavarde116          6       5       7       1       9       5       8       9       5       1       5       7       4       10      4       10      
Vardas117           Pavarde117          10      9       5       10      2       3       2       6       8       8       8       8       4       3       1       1       
Vardas118           Pavarde118          8       7       1       8       1       1       9       6       6       10      8       1       1       5       1       7       
Vardas119           Pavarde119          9       1       1       10      1       5       2       3       4       4       10      5       6       7       10      9       
Vardas120           Pavarde120          3       6       9       8       1       3       2       8       3       5       3       8       9       4       8       10      
Vardas121           Pavarde121          9       6       2       7       3       8       7       6       2       8       7       6       4       3       8       6       
Vardas122           Pavarde122          5       7       2       5       2       1       2       10      3       4       7       5       8       7       2       4       
Vardas123           Pavarde123          8       7       1       6       9       2       6       4       2       6       8       9       8       7       8       9       
Vardas124           Pavarde124          8       10      4       2       8       9       9       8       8       5       5       1       10      6       5       5       
Vardas125           Pavarde125          6       4       3       5       2       3       3       8       4       8       8       5       4       7       1       7       
Vardas126           Pavarde126          8       3       10      4       2       4       9       9       3       7       2       7       7       7       7       4       
Vardas127           Pavarde127          7       3       3       5       5       4       3       2       1       3       10      5       10      8       8       6       
Vardas128           Pavarde128          1       2       10      7       8       2       9       9       7       3       6       3       7       9       8       10      
Vardas129           Pavarde129          5       5       2       7       10      3       8       8       5       9       1       7       8       9       3       9       
Vardas130           Pavarde130          10      8       3       2       9       3       2       3       8       8       8       3       4       5       2       1       
Vardas131           Pavarde131          2       4       6       9       10      10      1       2       4       8       2       6       1       7       9       9       
Vardas132           Pavarde132          8       7       5       1       7       2       7       6       2       4       8       2       9       3       8       6       
Vardas133           Pavarde133          3       4       3       2       9       6       2       2       10      9       6       7       3       10      3       4       
Vardas134           Pavarde134          3       7       9       1       1       9       1       2       5       1       3       5       10      5       8       2       
Vardas135           Pavarde135          8       8       4       4       3       10      4       2       5       3       6       10      10      6       4       10      
Vardas136           Pavarde136          6       1       2       9       5       10      4       4       1       1       1       4       7       10      3       5       
Vardas137           Pavarde137          9       2       7       4       2       6       2       2       8       10      9       5       6       4       5       4       
Vardas138           Pavarde138          5       6       10      7       9       6       10      5       10      2       1       2       6       4       9       1       
Vardas139           Pavarde139          2       1       3       7       6       4       1       4       8       10      5       9       3       4       8       9       
Vardas140           Pavarde140          2       4       10      8       3       7       4       1       2       10      2       4       9       3       8       9       
Vardas141           Pavarde141          9       9       7       5       3       6       2       2       1       8       5       7       1       4       10      6       
Vardas142           Pavarde142          9       3       8       1       9       8       2       9       6       1       6       10      2       3       1       2       
Vardas143           Pavarde143          10      10      8       1       7       4       4       5       10      2       2       2       10      1       3       10      
Vardas144           Pavarde144          6       4       5       2       2       5       9       3       4       7       4       3       5       3       9       3       
Vardas145           Pavarde145          9       3       7       1       4       8       4       4       9       8       7       4       6       10      2       9       
Vardas146           Pavarde146          1       7       9       8       3       2       6       6       4       6       4       4       7       8       6       1       
Vardas147           Pavarde147          8       2       3       2       8       4       6       10      10      3       3       1       2       9       7       9       
Vardas148           Pavarde148          1       8       1       2       2       2       4       5       10      7       3       3       6       8       2       4       
Vardas149           Pavarde149          7       2       8       9       8       3       3       1       7       5       5       1       4       8       1       9       
Vardas150           Pavarde150          8       3       8       2       8       3       4       2       8       1       3       8       5       1       4       8       
Vardas151           Pavarde151          1       3       3       5       10      8       10      5       6       2       6       5       1       7       3       2       
Vardas152           Pavarde152          9       3       7       8       7       1       10      8       8       3       9       4       8       5       4       8       
Vardas153           Pavarde153          10      9       10      6       8       4       6       5       5       1       9       9       2       10      3       10      
Vardas154           Pavarde154          1       5       5       7       3       1       3       9       2       5       2       6       2       5       3       3       
Vardas155           Pavarde155          8       9       4       4       10      3       4       2       10      4       7       7       9       4       8       4       
Vardas156           Pavarde156          2       9       5       2       8       10      9       4       9       3       3       3       4       8       10      5       
Vardas157           Pavarde157          3       9       1       1       4       1       1       9       6       4       2       3       6       4       6       5       
Vardas158           Pavarde158          8       9       6       4       8       4       9       2       7       10      3       4       2       6       6       9       
Vardas159           Pavarde159          1       9       8       3       10      9       10      2       1       9       1       6       6       2       2       1       
Vardas160           Pavarde160          3       5       8       6       5       3       3       2       7       1       2       5       3       5       6       8       
Vardas161           Pavarde161          6       7       10      8       10      6       8       5       8       9       3       4       4       8       6       7       
Vardas162           Pavarde162          9       2       4       10      2       1       4       6       8       9       7       4       3       9       3       8       
Vardas163           Pavarde163          8       8       7       9       1       7       2       4       6       1       9       3       8       7       5       2       
Vardas164           Pavarde164          7       5       7       6       3       8       9       6       6       10      8       8       2       3       8       9       
Vardas165           Pavarde165          6       3       8       9       1       4       6       9       9       9       2       7       7       3       10      6       
Vardas166           Pavarde166          7       6       6       7       1       1       10      4       5       10      8       2       9       5       1       8       
Vardas167           Pavarde167          8       2       9       7       2       5       1       8       5       1       2       9       1       6       8       10      
Vardas168           Pavarde168          2       9       10      2       9       9       8       6       3       3       7       8       6       7       5       3       
Vardas169           Pavarde169          6       5       3       9       8       4       6       9       7       8       4       4       4       1       6       10      
Vardas170           Pavarde170          8       2       10      9       9       10      3       8       6       5       8       9       3       10      2       4       
Vardas171           Pavarde171          4       10      2       9       3       1       6       6       10      2       8       3       10      4       9       1       
Vardas172           Pavarde172          2       7       3       9       7       2       10      5       5       6       4       2       8       6       6       7       
Vardas173           Pavarde173          6       6       1       6       3       10      4       1       2       5       1       10      1       5       2       2       
Vardas174           Pavarde174          2       7       7       9       9       9       7       8       8       6       7       3       3       4       10      7       
Vardas175           Pavarde175          10      6       1       3       6       9       2       7       6       6       5       7       5       3       9       9       
Vardas176           Pavarde176          1       3       3       9       5       4       3       4       3       7       2       9       1       2       3       6       
Vardas177           Pavarde177          4       10      9       5       10      2       1       7       8       10      3       3       3       10      3       5       
Vardas178           Pavarde178          3       7       2       4       6       10      1       1       9       3       7       7       8       6       7       5       
Vardas179           Pavarde179          8       8       10      4       7       3       9       2       6       7       2       1       1       9       7       4       
Vardas180           Pavarde180          7       7       5       2       2       9       6       4       7       5       5       1       5       5       10      1       
Vardas181           Pavarde181          2       2       10      9       10      2       5       2       8       1       3       3       4       2       8       9       
Vardas182           Pavarde182          7       6       7       2       5       9       5       5       10      8       4       7       2       7       9       1       
Vardas183           Pavarde183          9       3       4       5       3       5       9       9       6       3       7       6       3       1       3       9       
Vardas184           Pavarde184          8       6       7       5       10      2       2       4       9       1       9       10      8       9       2       5       
Vardas185           Pavarde185          3       5       2       10      8       6       4       2       2       9       8       7       4       1       3       10      
Vardas186           Pavarde186          6       1       10      1       5       1       2       3       4       10      3       3       3       1       8       1       
Vardas187           Pavarde187          2       6       2       5       7       6       1       10      7       1       5       2       1       10      5       3       
Vardas188           Pavarde188          3       8       3       3       8       2       5       3       7       9       7       9       9       3       6       1       
Vardas189           Pavarde189          2       3       3       8       4       10      1       7       1       5       5       4       4       3       9       3       
Vardas190           Pavarde190          7       7       7       4       7       3       8       8       2       3       10      5       10      2       7       7       
Vardas191           Pavarde191          1       7       2       1       3       4       1       6       7       10      9       10      1       10      4       8       
Vardas192           Pavarde192          4       3       2       10      3       3       7       4       4       1       6       9       3       8       10      1       
Vardas193           Pavarde193          1       10      3       7       4       2       3       6       8       8       5       10      5       7       6       1       
Vardas194           Pavarde194          2       8       3       5       8       4       7       6       1       6       6       3       10      5       8       7       
Vardas195           Pavarde195          4       8       4       6       10      7       8       8       10      7       5       1       5       1       1       3       
Vardas196           Pavarde196          3       6       7       7       8       9       1       3       9       6       6       2       10      8       4       3       
Vardas197           Pavarde197          5       2       10      2       7       7       6       4       5       6       9       4       7       2       8       4       
Vardas198           Pavarde198          2       10      1       5       8       3       7       1       10      9       5       3       8       10      10      3       
Vardas199           Pavarde199          6       10      10      9       1       8       5       2       7       6       9       3       6       4       4       1       
Vardas200           Pavarde200          7       8       8       7       2       9       1       1       4       9       5       6       8       4       1       6       
Vardas201           Pavarde201          9       2       6       4       8       6       4       1       2       1       8       6       10      10      8       9       
Vardas202           Pavarde202          6       10      1       1       6       9       10      4       6       6       5       8       10      8       1       1       
Vardas203           Pavarde203          5       6       1       10      2       2       10      2       5       7       2       10      9       8       3       10      
Vardas204           Pavarde204          3       3       7       6       2       5       10      8       9       2       6       10      2       4       2       7       
Vardas205           Pavarde205          1       5       6       2       9       1       4       2       3       1       2       10      9       6       7       6       
Vardas206           Pavarde206          10      1       4       5       8       7       4       1       7       7       2       4       6       6       8       4       
Vardas207           Pavarde207          4       6       4       2       5       3       9       7       8       9       2       9       5       3       10      4       
Vardas208           Pavarde208          5       4       3       8       5       5       9       8       3       1       4       1       5       2       7       8       
Vardas209           Pavarde209          1       3       4       4       2       2       5       10      9       7       2       10      1       1       8       1       
Vardas210           Pavarde210          10      1       6       9       8       9       2       8       3       2       4       4       10      1       10      10      
Vardas211           Pavarde211          2       4       10      9       10      8       10      10      8       6       6       5       8       7       10      2       
Vardas212           Pavarde212          7       3       2       5       5       7       2       2       7       7       1       3       3       9       6       3       
Vardas213           Pavarde213          7       5       4       6       2       4       6       5       1       8       8       6       6       7       1       7       
Vardas214           Pavarde214          3       2       7       1       1       10      2       7       9       1       7       5       3       4       4       9       
Vardas215           Pavarde215          3       9       9       3       8       8       8       5       2       7       3       6       4       7       6       6       
Vardas216           Pavarde216          10      2       1       8       10      1       9       9       3       7       7       4       8       8       2       7       
Vardas217           Pavarde217          8       8       9       7       10      8       6       1       1       6       2       4       8       8       2       7       
Vardas218           Pavarde218          7       3       8       3       8       10      8       10      6       9       10      7       10      4       3       8       
Vardas219           Pavarde219          3       6       3       7       8       9       2       8       3       9       8       2       2       4       9       4       
Vardas220           Pavarde220          7       7       5       8       3       9       9       3       10      1       9       1       7       8       6       6       
Vardas221           Pavarde221          5       2       10      5       6       6       4       4       2       7       3       7       7       7       9       3       
Vardas222           Pavarde222          7       8       4       5       7       7       5       5       8       4       5       8       9       2       2       4       
Vardas223           Pavarde223          1       4       9       10      10      5       5       6       5       8       6       4       8       6       5       4       
Vardas224           Pavarde224          8       8       10      7       6       10      9       5       1       5       7       3       2       1       6       7       
Vardas225           Pavarde225          10      7       9       7       8       8       9       1       3       4       4       7       1       4       7       3       
Vardas226           Pavarde226          8       2       6       5       9       8       8       3       7       9       5       10      3       10      9       7       
Vardas227           Pavarde227          10      4       7       8       7       2       7       2       4       2       8       4       3       7       6       8       
Vardas228           Pavarde228          8       1       2       2       2       6       5       5       1       8       4       2       2       5       6       7       
Vardas229           Pavarde229          10      2       10      10      5       9       3       9       8       6       3       6       4       5       7       4       
Vardas230           Pavarde230          9       10      2       6       8       4       5       10      8       10      10      10      4       4       5       6       
Vardas231           Pavarde231          8       9       2       5       6       1       2       4       1       2       7       10      4       2       1       4       
Vardas232           Pavarde232          9       5       1       1       10      8       7       5       7       1       3       8       8       8       5       6       
Vardas233           Pavarde233          7       5       6       8       2       8       1       10      7       3       5       1       5       2       3       5       
Vardas234           Pavarde234          7       10      10      3       8       1       7       7       1       5       4       9       6       9       7       1       
Vardas235           Pavarde235          9       2       6       10      9       1       9       2       3       9       7       6       1       6       1       7       
Vardas236           Pavarde236          3       6       9       8       2       7       2       10      4       10      10      8       4       7       8       8       
Vardas237           Pavarde237          3       8       8       5       9       1       3       5       5       2       2       1       8       3       4       4       
Vardas238           Pavarde238          3       4       10      4       4       7       5       3       5       10      1       3       1       5       3       10      
Vardas239           Pavarde239          2       3       8       2       4       2       2       9       4       3       2       8       10      5       2       3       
Vardas240           Pavarde240          1       4       4       1       8       3       7       7       8       5       9       9       6       7       9       10      
Vardas241           Pavarde241          6       7       8       3       2       6       9       9       10      7       4       8       7       6       6       1       
Vardas242           Pavarde242          6       8       1       9       1       1       7       8       3       9       5       5       7       9       1       9       
Vardas243           Pavarde243          2       3       1       1       3       3       2       3       6       2       3       2       1       3       8       9       
Vardas244           Pavarde244          10      8       10      6       3       4       2       10      2       3       3       5       1       2       4       3       
Vardas245           Pavarde245          4       2       10      3       10      8       8       4       6       6       6       3       1       2       9       3       
Vardas246           Pavarde246          6       10      2       7       10      4       5       6       9       2       8       4       10      4       1       8       
Vardas247           Pavarde247          2       4       8       10      7       5       10      3       6       4       4       3       1       5       8       9       
Vardas248           Pavarde248          4       3       8       9       4       7       3       9       4       5       9       6       8       3       4       7       
Vardas249           Pavarde249          5       3       7       2       10      6       9       2       3       8       3       8       5       3       4       7       
Vardas250           Pavarde250          1       2       1       7       5       8       9       4       7       10      3       8       3       6       2       7       
Vardas251           Pavarde251          3       10      6       3       3       4       4       4       7       4       10      8       9       8       10      2       
Vardas252           Pavarde252          5       7       9       5       7       7       9       8       10      7       7       7       7       2       8       8       
Vardas253           Pavarde253          10      9       10      6       8       6       10      5       5       2       9       5       3       2       6       6       
Vardas254           Pavarde254          6       4       5       7       2       6       10      3       8       3       8       5       2       3       9       5       
Vardas255           Pavarde255          8       10      2       6       5       4       2       10      4       1       10      1       4       6       5       9       
Vardas256           Pavarde256          9       1       3       10      10      8       9       3       3       9       7       7       6       7       6       5       
Vardas257           Pavarde257          3       8       3       2       4       4       1       8       2       1       2       3       3       1       8       3       
Vardas258           Pavarde258          3       5       6       5       3       4       9       7       5       6       2       7       6       6       4       10      
Vardas259           Pavarde259          6       7       8       6       10      9       2       7       8       2       2       6       2       4       10      9       
Vardas260           Pavarde260          10      8       6       3       7       8       7       2       2       10      10      10      8       7       2       3       
Vardas261           Pavarde261          9       1       6       9       7       7       3       4       7       3       8       7       8       2       5       9       
Vardas262           Pavarde262          3       8       10      10      5       2       4       4       2       3       7       1       3       4       4       4       
Vardas263           Pavarde263          9       1       9       4       1       4       7       2       8       3       4       2       5       6       9       9       
Vardas264           Pavarde264          10      2       3       6       7       1       3       4       9       7       3       4       2       3       5       2       
Vardas265           Pavarde265          2       5       6       3       10      6       1       3       10      8       1       6       7       3       10      3       
Vardas266           Pavarde266          3       1       9       3       9       7       8       2       3       2       5       10      5       3       10      8       
