Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    ND15    Egz.    
Vardas174           Pavarde174          6       5       10      8       4       1       10      1       4       4       4       4       7       9       2       4       
Vardas175           Pavarde175          10      1       10      3       10      10      4       5       4       2       5       4       5       4       6       4       
Vardas176           Pavarde176          10      2       3       10      1       2       3       3       4       7       7       7       9       6       4       9       
Vardas177           Pavarde177          1       4       10      4       10      1       3       6       5       7       4       2       6       5       6       2       
Vardas178           Pavarde178          8       4       8       4       7       4       9       7       10      2       4       2       7       6       1       3       
Vardas179           Pavarde179          3       8       4       5       1       3       3       3       9       9       5       9       4       6       5       3       
Vardas180           Pavarde180          4       5       6       4       9       2       10      3       9       5       3       10      6       6       4       9       
Vardas181           Pavarde181          7       9       1       3       10      2       4       8       6       9       3       5       7       10      2       3       
Vardas182           Pavarde182          5       8       9       5       7       8       8       7       4       10      4       6       1       1       5       5       
Vardas183           Pavarde183          9       8       5       3       1       4       10      9       10      8       3       5       7       2       4       3       
Vardas184           Pavarde184          1       9       5       8       4       4       8       5       4       1       6       10      8       7       9       8       
Vardas185           Pavarde185          2       4       9       7       9       2       6       2       6       8       3       8       4       8       10      5       
Vardas186           Pavarde186          9       2       6       7       5       5       9       7       3       7       10      5       5       2       1       9       
Vardas187           Pavarde187          2       7       7       5       4       8       3       3       7       5       5       9       4       6       4       6       
Vardas188           Pavarde188          3       2       5       7       5       7       5       4       2       3       5       10      10      10      2       4       
Vardas189           Pavarde189          2       6       3       4       6       4       10      6       5       8       3       4       1       3       9       9       
Vardas190           Pavarde190          9       2       2       5       9       9       9       7       2       7       8       7       7       1       5       8       
Vardas191           Pavarde191          8       2       6       1       2       1       10      8       9       1       10      7       1       5       3       2       
Vardas192           Pavarde192          5       1       4       9       9       1       7       7       9       3       9       7       5       8       1       2       
Vardas193           Pavarde193          1       6       7       1       8       1       3       8       5       4       7       7       4       8       5       2       
Vardas194           Pavarde194          3       2       3       4       2       3       3       8       4       9       8       5       1       2       1       8       
Vardas195           Pavarde195          5       8       8       3       7       6       7       3       3       2       3       3       1       2       1       9       
Vardas196           Pavarde196          10      2       4       1       7       6       6       9       5       4       6       7       1       9       10      2       
Vardas197           Pavarde197          7       9       3       7       3       1       4       5       1       3       1       9       8       8       8       2       
Vardas198           Pavarde198          4       8       2       2       4       10      7       8       6       3       5       6       10      7       1       2       
Vardas199           Pavarde199          7       5       3       1       9       7       1       6       9       3       7       4       4       7       9       4       
Vardas200           Pavarde200          4       7       8       5       4       7       8       8       10      9       8       10      8       6       8       8       
Vardas201           Pavarde201          2       2       6       8       7       8       2       5       1       5       1       5       2       7       9       8       
Vardas202           Pavarde202          9       6       1       7       3       6       6       6       3       5       6       10      7       3       10      6       
Vardas203           Pavarde203          4       3       5       1       9       10      7       1       9       3       6       4       8       6       3       4       
Vardas204           Pavarde204          7       1       5       1       9       8       7       8       10      2       4       9       5       10      8       10      
Vardas205           Pavarde205          3       6       5       2       2       5       10      7       10      8       2       6       8       10      3       8       
Vardas206           Pavarde206          10      10      7       2       10      9       5       9       5       1       9       5       10      3       1       2       
Vardas207           Pavarde207          7       7       1       8       5       9       4       5       8       10      2       10      5       4       8       9       
Vardas208           Pavarde208          9       3       7       4       3       7       7       9       3       7       3       3       4       2       8       2       
Vardas209           Pavarde209          8       3       6       3       10      5       1       7       6       7       1       6       4       10      1       10      
Vardas210           Pavarde210          5       7       10      2       2       8       8       9       8       3       1       1       4       9       7       10      
Vardas211           Pavarde211          7       8       9       8       2       8       6       1       1       10      10      7       5       8       1       2       
Vardas212           Pavarde212          10      10      6       3       8       10      3       6       4       9       3       8       10      3       3       6       
Vardas213           Pavarde213          8       4       7       6       3       6       9       3       5       7       2       10      5       5       5       5       
Vardas214           Pavarde214          5       2       8       7       2       10      1       4       3       3       5       7       9       5       10      6       
Vardas215           Pavarde215          4       6       4       3       2       1       1       5       10      10      10      1       6       10      10      4       
Vardas216           Pavarde216          4       2       3       9       4       9       4       6       5       7       6       4       6       6       9       3       
Vardas217           Pavarde217          7       8       5       2       5       2       9       5       5       10      1       6       8       1       7       8       
Vardas218           Pavarde218          1       7       10      3       2       3       10      3       7       2       5       4       1       8       6       4       
Vardas219           Pavarde219          10      5       3       2       5       5       6       5       9       9       9       6       7       10      7       5       
Vardas220           Pavarde220          4       3       8       2       6       4       4       3       6       9       9       2       2       1       10      6       
Vardas221           Pavarde221          7       1       9       2       9       6       5       5       8       5       7       2       7       9       9       7       
Vardas222           Pavarde222          1       4       5       5       8       10      2       4       8       10      9       8       10      8       10      3       
Vardas223           Pavarde223          8       4       8       6       3       10      5       2       7       3       6       1       4       7       3       5       
Vardas224           Pavarde224          10      5       4       6       2       8       5       7       2       7       3       3       4       1       7       7       
Vardas225           Pavarde225          8       5       5       10      8       9       1       9       8       2       9       10      1       5       4       4       
Vardas226           Pavarde226          5       4       4       3       2       1       10      8       2       2       1       2       6       4       10      9       
Vardas227           Pavarde227          7       6       5       3       2       6       9       5       3       8       7       9       10      10      5       7       
Vardas228           Pavarde228          8       3       2       9       7       9       2       3       6       6       6       3       5       6       1       8       
Vardas229           Pavarde229          4       9       1       6       2       1       10      8       8       1       9       10      10      7       5       6       
Vardas230           Pavarde230          3       4       9       4       1       2       10      2       2       2       6       3       3       3       5       6       
Vardas231           Pavarde231          7       1       6       5       6       2       9       6       3       5       2       6       8       4       3       1       
Vardas232           Pavarde232          7       6       2       6       8       2       8       8       4       5       6       8       4       8       10      10      
Vardas233           Pavarde233          9       1       4       7       5       8       7       4       4       2       10      8       4       1       2       10      
Vardas234           Pavarde234          6       6       6       1       6       6       7       5       8       8       1       3       4       5       3       1       
Vardas235           Pavarde235          2       5       4       1       2       7       7       1       2       6       10      6       2       2       7       5       
Vardas236           Pavarde236          2       2       6       4       9       10      3       6       5       2       8       5       9       6       10      7       
Vardas237           Pavarde237          8       9       5       1       2       9       6       2       3       3       6       9       8       7       8       4       
Vardas238           Pavarde238          3       10      9       8       3       4       7       8       7       6       10      8       7       8       2       5       
Vardas239           Pavarde239          3       5       6       2       4       3       7       9       4       5       8       8       4       9       10      5       
Vardas240           Pavarde240          1       2       7       9       10      1       1       8       9       9       7       3       10      5       8       2       
Vardas241           Pavarde241          9       7       6       3       2       9       3       10      4       8       5       9       1       1       7       8       
Vardas242           Pavarde242          5       9       1       5       2       2       4       8       10      10      6       8       9       3       4       6       
Vardas243           Pavarde243          9       6       10      6       9       5       5       9       3       4       4       2       7       4       4       9       
Vardas244           Pavarde244          2       6       4       8       6       3       5       4       4       1       3       4       8       3       7       2       
Vardas245           Pavarde245          3       9       9       4       9       6       7       6       1       10      2       10      1       2       7       1       
Vardas246           Pavarde246          8       9       5       10      4       2       6       6       9       8       8       2       8       7       3       7       
Vardas247           Pavarde247          10      6       3       3       9       8       8       1       2       1       8       3       5       9       7       9       
Vardas248           Pavarde248          6       10      7       3       6       7       10      8       8       9       6       10      2       5       5       5       
Vardas249           Pavarde249          6       7       7       8       7       4       9       1       2       5       2       7       2       6       7       10      
Vardas250           Pavarde250          8       5       5       9       4       8       5       8       8       5       10      3       10      8       9       2       
Vardas251           Pavarde251          2       2       8       6       4       6       5       9       6       6       2       6       2       8       3       2       
Vardas252           Pavarde252          2       8       10      4       10      1       6       1       3       7       5       4       8       7       8       1       
Vardas253           Pavarde253          2       8       5       5       7       6       7       8       3       9       4       9       4       2       2       3       
Vardas254           Pavarde254          8       4       8       6       4       10      9       6       10      9       4       7       4       6       1       7       
Vardas255           Pavarde255          2       10      9       2       4       3       9       8       1       4       3       2       2       8       6       4       
Vardas256           Pavarde256          6       10      4       9       10      1       5       4       5       9       9       7       2       7       1       1       
Vardas257           Pavarde257          2       4       1       1       4       3       8       8       1       5       7       6       7       4       9       8       
Vardas258           Pavarde258          4       10      4       5       5       6       1       9       10      5       10      3       5       10      9       8       
Vardas259           Pavarde259          3       4       2       3       7       3       8       3       9       1       4       8       5       6       2       4       
Vardas260           Pavarde260          9       10      2       10      9       5       4       7       1       10      8       1       9       1       1       8       
Vardas261           Pavarde261          3       2       2       5       8       5       4       5       5       10      4       3       3       6       7       9       
Vardas262           Pavarde262          1       7       9       3       9       7       9       3       6       7       3       2       10      10      8       5       
Vardas263           Pavarde263          5       7       4       8       7       3       8       10      5       8       4       7       9       2       4       5       
Vardas264           Pavarde264          1       1       10      5       7       3       2       4       5       3       10      5       10      3       4       6       
Vardas265           Pavarde265          6       3       6       2       1       6       3       3       9       6       4       10      10      10      1       6       
Vardas266           Pavarde266          4       4       3       9       10      5       6       1       6       3       2       2       7       3       8       6       
